publication,year,wordRate,wordCount,flatRate,totalPaid,paymentDifficulty,daysToBePaid,storyType,levelOfReporting,relationship,rights,platform,contract,comment
Art In America,2018,0.0,1200.0,False,0.0,,,Criticism,Light,Ongoing,First,,No,"""Have not been paid for the two pieces I wrote back in 2017 - have been waiting for over eight months."""
Art In America,2018,0.33,600.0,False,198.0,1.0,90,,,,All,Print,,
Art In America,2016,0.13,599.0,False,77.87,3.0,42,Criticism,Light,Ongoing,All,Digital,Verbal,
Art In America,2016,0.2,750.0,False,150.0,3.0,Not Yet,Blog,Medium,Ongoing,Unknown/Other,Digital,No,
Art In America,2016,0.67,1500.0,False,1005.0000000000001,3.0,>90,Opinion,Medium,Ongoing,Unknown/Other,Print,No,
Art In America,2015,0.33,375.0,False,123.75,,,Criticism,Medium,Cold Pitch,All,Print,Verbal,"""I rewrote the piece several times. Payment barely reflected the time I spent on research and writing, and definitely not worth the aggravation. I got paid almost a year after I first pitched the idea."""
Art In America,2013,,,True,120.0,,,Criticism,,,,,,
American Angler,2017,0.35,1000.0,False,350.0,1.0,15,Feature,Medium,Cold Pitch,First,Print,Yes,
Brickunderground,2017,0.11,1100.0,False,121.0,1.0,15,News,Light,Solicited Pitch,First,Digital,No,
Daily Serving,2017,0.07,750.0,False,52.50000000000001,1.0,30,Criticism,Medium,Ongoing,Unknown/Other,Digital,Yes,
Skift,2018,0.2,1000.0,False,200.0,2.0,42,News,Heavy,Solicited Pitch,First,Digital,Yes,
Skift,2018,0.2,1000.0,False,200.0,2.0,30,Feature,Heavy,Solicited Pitch,First,Digital,Yes,
Hollywood Reporter,2018,0.33,1200.0,False,396.0,2.0,42,Opinion,Medium,Referral,Unknown/Other,Digital,Yes,
Hollywood Reporter,2018,0.33,1200.0,False,396.0,3.0,60,Criticism,Medium,Referral,First,Digital,Yes,
Contently / Trulia,2014,0.57,375.0,False,213.74999999999997,,,News,Light,Ongoing,First,Digital,No,"""Trulia gets all of their contributed content via Contently. A Contently portfolio and accountis required. Editorial process is super easy. Few revisions requested and pieces are 400-500 words in length. They send along source materials many times as well."""
Be Moxie,2014,0.0,750.0,False,0.0,,,News,Light,Ongoing,First,Digital,Yes,"""Does not pay."""
Girls' Life,2017,0.0,800.0,False,0.0,,,FoB,Medium,Ongoing,All,Digital,Verbal,
Girls' Life,2016,0.0,300.0,False,0.0,,,FoB,Medium,Assignment,All,Digital,Verbal,
Girls' Life,2016,0.5,1000.0,False,500.0,5.0,Not Yet,Feature,Light,Ongoing,All,Print,Yes,"""I have heard from several writers and photographers that they were never paid by Girls' Life and that this publication is one to avoid."""
Girls' Life,2014,0.47,750.0,False,352.5,,,FoB,Light,Cold Pitch,First,Print,Yes,
Girls' Life,2013,0.33,1500.0,False,495.0,,,Feature,Light,Ongoing,All,Print,Yes,"""Despite a contract and several promises of payment, they never actually paid up. Stopped responding to e-mails, made promises over the phone that they never kept, and six months after publication, there's still no sign of that promised $500."""
Open,2016,0.11,1700.0,False,187.0,3.0,>90,,,,Unknown/Other,Print,,
Bright,2018,0.21,1200.0,False,252.0,1.0,30,Opinion,Medium,Cold Pitch,First,Digital,Yes,"""It took six months from submitting a first draft for the essay to be published. Editors made great contributions but were slow to return edits."""
Bright,2018,0.25,1000.0,False,250.0,1.0,Not Yet,Opinion,Light,Cold Pitch,First,Digital,Yes,
San Diego Reader,2016,0.5,300.0,False,150.0,1.0,30,News,Medium,Ongoing,First,Digital,No,"""Excellent publication. And a lot of superb writers. Editors are pleasant to work with, once they know your work, and you respond quickly to any questions they have. Pay is now via direct deposit; no more checks so payment is quicker."""
San Diego Reader,2014,0.4,375.0,False,150.0,,,News,Medium,Ongoing,,Digital,No,
Crain's New York,2017,0.0,600.0,False,0.0,,,Opinion,Light,Cold Pitch,Unknown/Other,Digital,No,"""Does not pay for op-eds. Despite the fact that they do not pay, editorial went through several rounds of edits, as the editor kept trying to change my opinion and insert factually incorrect information to meet his assumptions. Also, they chose to run it 2-3 months after I sent it in, even though it was about a timed news event."""
Boom: A Journal Of California,2014,0.17,3000.0,False,510.00000000000006,,,Feature,Heavy,Spec,All,Digital,Yes,
Revision Path,2017,0.13,750.0,False,97.5,1.0,15,Opinion,Medium,Cold Pitch,First,Digital,Verbal,
Dallas Voice,2016,0.17,600.0,False,102.00000000000001,1.0,15,FoB,Medium,Ongoing,First,Digital,Verbal,
A&e Real Crime Blog,2018,0.5,800.0,False,400.0,1.0,30,News,Medium,Ongoing,All,Digital,Yes,
A&e Real Crime Blog,2018,0.4,1000.0,False,400.0,1.0,30,Profile,Medium,Ongoing,Unknown/Other,Digital,Yes,
A&e Real Crime Blog,2017,0.5,1000.0,False,500.0,1.0,15,Blog,Medium,Referral,Unknown/Other,Digital,,
Little White Lies,2017,0.09,1000.0,False,90.0,3.0,42,Profile,Medium,Cold Pitch,Unknown/Other,Digital,Yes,
Little White Lies,2017,0.07,800.0,False,56.00000000000001,1.0,Not Yet,Feature,Medium,Cold Pitch,Unknown/Other,Digital,No,
Little White Lies,2017,0.11,500.0,False,55.0,5.0,>90,,,,All,Digital,,
Little White Lies,2017,0.0,500.0,False,0.0,,,Criticism,Medium,Ongoing,First,Digital,No,
Little White Lies,2016,0.06,900.0,False,54.0,4.0,60,Criticism,Medium,Cold Pitch,All,Digital,No,
Vice,2018,0.23,1000.0,False,230.0,1.0,Not Yet,,,,All,Digital,,
Vice,2017,0.21,1200.0,False,252.0,3.0,Not Yet,Feature,Light,Cold Pitch,All,Digital,No,
Vice,2017,0.13,2400.0,False,312.0,3.0,60,Feature,Heavy,Cold Pitch,Unknown/Other,Digital,Yes,"""Cold-pitched in July. Got a greenlight two months later. Editors were great. As a first-time writer for them, had to send them a bunch of paperwork but that's standard stuff (contract, tax forms, invoice, etc.). From the time of invoice submission to payment, it took about 30-40 days. As a non-US writer, payment was made in US dollars via wire transfer."""
Vice,2017,0.35,1000.0,False,350.0,1.0,42,Profile,Medium,Ongoing,All,Digital,Yes,
Vice,2017,0.3,1000.0,False,300.0,3.0,42,Criticism,Light,Cold Pitch,First,Digital,No,
Vice,2017,0.29,1200.0,False,348.0,3.0,Not Yet,Feature,Medium,Ongoing,Unknown/Other,Digital,Yes,
Vice,2017,0.14,1000.0,False,140.0,3.0,60,Opinion,Light,Cold Pitch,Unknown/Other,Digital,No,
Vice,2016,0.3,1000.0,False,300.0,2.0,30,Feature,Medium,Cold Pitch,Unknown/Other,Digital,Yes,"""I usually assume a feature pitch isn't happening if I don't get a response within a couple weeks. But Vice editor responded to my cold pitch two months after I sent it to generic email listed on Vice's website (where they say it might take up to three months to respond)."""
Vice,2016,0.11,900.0,False,99.0,4.0,90,News,Medium,Cold Pitch,Unknown/Other,Digital,No,"""The fact that the payment was processed in the UK made it a bit more complicated, but it still took some time to receive payment even after I provided the required banking information. I recommend reading the Columbia Journalism Review's piece on how Vice treats its freelancers before writing for them."""
Vice,2016,0.17,1000.0,False,170.0,1.0,30,Opinion,Light,Ongoing,All,Digital,Verbal,
Vice,2016,0.27,1500.0,False,405.0,,,News,Heavy,Ongoing,First,Digital,Verbal,"""There was definitely room to negotiate. I probably could have gotten a few hundred more, but the subject matter was ultra-time sensitive and I didn't want to miss the window to sell. I think they're used to people saying yes out of excitement that they're going to get published. If you put in hard work, don't be shy to ask for double what they offer (with good reason, especially if you had expenses) - push back will make them respect you more and help you look more legit - a win-win."""
Vice,2016,0.62,6500.0,False,4030.0,1.0,30,Feature,Heavy,Spec,First,Print,Yes,
Vice,2015,0.47,750.0,False,352.5,,,News,Medium,Ongoing,,Print,No,""".50 cents a word for Vice print"""
Vice,2015,0.2,750.0,False,150.0,,,Profile,Heavy,Cold Pitch,,Digital,Verbal,"""This was a food piece for Munchies"""
Vice,2014,0.08,3000.0,False,240.0,,,Feature,Medium,Cold Pitch,Unknown/Other,Digital,No,"""Vice is very prompt with payments—30 days after invoice, they directly deposit my money (I know the terms from a previous relationship with Motherboard, their tech section).

As has been said before, editing is good. $250, apparently, is their max. rate for anything on the web.  """
Vice,2014,0.05,1500.0,False,75.0,,,Criticism,Medium,Ongoing,All,Digital,Yes,
Vice,2014,0.1,3000.0,False,300.0,,,Feature,Heavy,Spec,,Digital,No,"""Got paid quickly. No contract. Piece involved reporting under fairly risky conditions, and had some photos. """
Vice,2014,0.17,3000.0,False,510.00000000000006,,,Feature,Heavy,Solicited Pitch,,Digital,Verbal,
Vice,2013,0.02,5000.0,False,100.0,,,Feature,Heavy,Spec,All,Digital,No,"""Editor published piece without advance warning (to me, the writer); compensation therefore was only discussed after piece was published. Still haven't received payment more than a month after publication. """
Vice,2013,0.07,1500.0,False,105.00000000000001,,,Profile,Light,,,Digital,,
Vice,2013,0.06,1200.0,False,72.0,,,Feature,,,,,,"""""thoughtful edits"""""
Vice,2012,,,True,250.0,,,Feature,,,,,,"""“VICE has the hugest sliding scale from writer to writer that I’ve heard of. For the print magazine, word is that it depends how much they want a story.”"""
Vice,2012,,,True,75.0,,,Criticism,,,,Digital,,
Vice,2012,,,True,250.0,,,News,,,,,,"""“VICE has the hugest sliding scale from writer to writer that I’ve heard of. For the print magazine, word is that it depends how much they want a story.”"""
Zocalo Public Square,2017,0.18,1100.0,False,198.0,1.0,15,Opinion,Medium,Referral,Unknown/Other,Digital,No,
Zocalo Public Square,2014,0.07,1500.0,False,105.00000000000001,,,Opinion,Light,Referral,First,Digital,No,
The Overcast,2015,0.2,375.0,False,75.0,,,Opinion,Light,Ongoing,First,Digital,Verbal,"""Arts and culture monthly that always pays all writers. Small pay but many pieces are quick ones. Not much post-editing. Always paid on time. """
Remeshed,2016,0.07,1000.0,False,70.0,1.0,15,,,,Unknown/Other,Digital,,
The Picture Professional,2014,0.04,750.0,False,30.0,,,Profile,Medium,Ongoing,First,Print,Verbal,"""Shade above 500 word photographer's portfolio profile."""
Los Angeles Magazine,2014,1.2,125.0,False,150.0,,,FoB,Medium,Cold Pitch,First,Digital,Yes,"""I did a 150 word front-of-the book item. It was about a [redacted] company that I felt warranted a longer feature piece, but this is all the magazine wanted. [After it ran in print,] for $0, I cleaned up my interview transcript and filed a Q & A for the mag's website. Frankly, it is against my rules to do work that is unpaid, but I felt the company deserved the exposure."""
Folks,2018,0.4,1000.0,False,400.0,2.0,42,FoB,Light,Ongoing,Unknown/Other,Digital,,
Folks,2017,0.32,1250.0,False,400.0,2.0,42,Opinion,Light,Cold Pitch,First,Print,No,"""Editor was very difficult to deal with. Article was supposed to a positive essay on living with a particular learning disability. He changed it to a negative one, including symptoms that are not associated with the condition. To stigmatize the disability further, he introduced cliches and muddied the syntax until the essay read like a teenager had written it. After his third round of edits, he said each edit only took the article further from where he needed it to be, then killed the piece."""
Christ And Pop Culture Magazine,2016,0.01,4000.0,False,40.0,2.0,42,Opinion,Light,Ongoing,Unknown/Other,Digital,No,
Fusion,2017,0.38,1300.0,False,494.0,2.0,30,Feature,Medium,Referral,First,Digital,Verbal,
Fusion,2016,0.29,1200.0,False,348.0,3.0,Not Yet,Feature,Light,Cold Pitch,First,Digital,No,
Fusion,2016,0.3,1000.0,False,300.0,3.0,42,News,Medium,Referral,All,Digital,No,
Fusion,2016,0.25,6000.0,False,1500.0,2.0,30,Feature,Heavy,Referral,Unknown/Other,Digital,Yes,"""This was a four-part series which was approx. 6000 words total."""
Fusion,2016,0.25,1400.0,False,350.0,2.0,30,Feature,Medium,Ongoing,Unknown/Other,Digital,Yes,
Gal-dem,2018,0.0,1000.0,False,0.0,,,,,,Unknown/Other,Digital,,
Bbc Capital,2017,0.61,800.0,False,488.0,1.0,30,Feature,Medium,Cold Pitch,All,Digital,No,
Oregon Healthy Living,2016,0.13,1000.0,False,130.0,1.0,30,Feature,Medium,Ongoing,Unknown/Other,Digital,Yes,
North Coast Journal,2018,0.06,2500.0,False,150.0,1.0,42,News,Light,Solicited Pitch,First,Digital,,
Womens Review Of Books,2013,0.14,1500.0,False,210.00000000000003,,,Criticism,Light,Ongoing,First,Digital,Yes,"""This is a feminist nonprofit with a fantastically responsive editor. Tenured academics get $100 honorarium"""
The State,2012,,,,,,,,,,,Print,,"""the rate is ""up to $500"""""
The State,2012,,,,,,,,,,,Print,,""" “print journal and sociohistorical forum based out of Dubai.”"""
Quartz,2018,0.25,1000.0,False,250.0,2.0,30,,,,Unknown/Other,Digital,,
Quartz,2018,0.25,1400.0,False,350.0,2.0,30,,,,Unknown/Other,Digital,,
Quartz,2017,0.17,1500.0,False,255.00000000000003,2.0,30,Opinion,Light,Cold Pitch,Unknown/Other,Digital,No,
Quartz,2017,0.39,760.0,False,296.40000000000003,2.0,30,,,,First,Digital,,
Quartz,2017,0.29,1200.0,False,348.0,2.0,42,News,Heavy,Referral,All,Digital,Yes,
Quartz,2016,0.33,750.0,False,247.5,2.0,30,News,Medium,Ongoing,First,Digital,Yes,
Quartz,2016,0.15,1700.0,False,255.0,1.0,30,Feature,Medium,Ongoing,Unknown/Other,Digital,Yes,"""Quartz pays $250 per piece, but they're great to work with. They pay on time."""
Quartz,2016,0.23,2200.0,False,506.0,3.0,42,Feature,Medium,Referral,Unknown/Other,Digital,No,
Quartz,2016,0.07,3000.0,False,210.00000000000003,,,Profile,Medium,Assignment,First,Digital,Yes,
Quartz,2013,0.05,1100.0,False,55.0,,,Opinion,,,,Digital,,
Elle India,2018,0.14,1100.0,False,154.00000000000003,2.0,90,,,,First,Digital,,
Columbia Magazine,2014,0.53,1500.0,False,795.0,,,Profile,Medium,Assignment,Unknown/Other,Digital,Verbal,
Xonecole,2017,0.05,500.0,False,25.0,1.0,15,News,Medium,Cold Pitch,All,Digital,Yes,"""Easy to work with. I was paid in two weeks."""
Makeuseof,2016,0.09,1000.0,False,90.0,1.0,30,Blog,Light,Ongoing,All,Digital,Yes,
Latino Leaders,2018,0.33,1700.0,False,561.0,5.0,Not Yet,Feature,Medium,Ongoing,All,Digital,Yes,
Latino Leaders,2018,0.4,1100.0,False,440.0,5.0,Not Yet,Feature,Light,Assignment,Unknown/Other,Digital,No,
Latino Leaders,2014,0.13,1500.0,False,195.0,,,FoB,Medium,Ongoing,All,Print,Verbal,
Us Of America,2016,0.3,800.0,False,240.0,1.0,15,,,,First,Digital,,
Bbc Culture,2018,0.4,1400.0,False,560.0,2.0,15,Feature,Medium,Ongoing,Unknown/Other,Digital,No,
Bbc Culture,2018,0.53,1000.0,False,530.0,2.0,,,,,Unknown/Other,Digital,,
Bbc Culture,2018,0.54,1000.0,False,540.0,3.0,,Criticism,Medium,Cold Pitch,First,Digital,Yes,"""Received a PO a month after filing the story and payment a month after that. The story itself still has not been published (two and a half months after filing)."""
Bbc Culture,2016,0.37,1000.0,False,370.0,3.0,30,,Medium,Cold Pitch,Unknown/Other,Digital,No,"""The piece got killed - so I was paid 50% of the rate mentioned."""
The Atlanta Journal-constitution,2017,0.27,750.0,False,202.5,1.0,30,Feature,Medium,Cold Pitch,Unknown/Other,Digital,Yes,
Literary Traveler,2014,0.03,1500.0,False,45.0,,,Opinion,Light,Cold Pitch,,Digital,Verbal,"""Payment promised within 30 days. After 5+ queries over 18 months to multiple editors, and sporadic ""sorry, you'll have it soon"", have given up all hope of ever receiving payment"""
Loaded Magazine,2013,0.32,950.0,False,304.0,,,,,,,,,"""Exchange rate approximate; pay was 250 euros"""
Sf Weekly,2013,0.05,750.0,False,37.5,,,News,Medium,Cold Pitch,First,Digital,Yes,"""Was told by EiC all blog posts were $35. Although, I initially bargained the food editor to $40. According to the food editor food blog posts are $25.

Had one blog post run in the print edition (750 words roughly), wasn't informed of its printing, wasn't given a pay bump.

Same very painful payment terms as the S.F. Examiner (owner by the same company).

"""
Sf Weekly,2013,0.05,1000.0,False,50.0,,,News,,,,Print,,
Sf Weekly,2013,0.07,500.0,False,35.0,,,News,,,,Print,,
Sf Weekly,2013,0.3,500.0,False,150.0,,,,,,,Print,,
Sf Weekly,2013,,,True,38.0,,,Blog,,,,Digital,,"""“$50 for an obituary assigned on short notice, generally $25-30 for other posts.”"""
New York Press,2014,0.08,3000.0,False,240.0,,,Feature,Medium,Ongoing,Unknown/Other,,Verbal,"""I produced a monthly podcast for the alt paper New York Press. Each podcast was roughly 15 minutes long. Each episode was a feature about a particular NYC band and included an interview and live recording of the band. 

I was paid $250 for each episode. Payment came about a month after publication.

Unfortunately, the paper folded 1 year after they started releaseing the podcst."""
Rodale's Organic Life,2017,1.0,750.0,False,750.0,1.0,30,FoB,Medium,Cold Pitch,First,Print,Yes,
Rodale's Organic Life,2017,0.25,800.0,False,200.0,2.0,15,Opinion,Light,Ongoing,Unknown/Other,Digital,Yes,
Rodale's Organic Life,2017,0.2,1000.0,False,200.0,4.0,Not Yet,Blog,Medium,Cold Pitch,Unknown/Other,Digital,Yes,
Rodale's Organic Life,2016,0.24,732.0,False,175.68,4.0,Not Yet,FoB,Medium,Ongoing,All,Digital,Yes,"""$250 for slideshow (source all photos yourself), $175 for plain text article."""
Rodale's Organic Life,2016,0.25,700.0,False,175.0,4.0,Not Yet,FoB,Medium,Ongoing,Unknown/Other,Digital,Yes,
Hawaii Building Industry,2016,0.35,1200.0,False,420.0,1.0,30,Feature,Medium,Referral,Unknown/Other,Print,,
Popular Mechanics,2017,0.2,1000.0,False,200.0,2.0,15,Opinion,,,All,Digital,,
Popular Mechanics,2016,0.25,1300.0,False,325.0,2.0,30,Feature,Medium,Ongoing,First,Digital,Verbal,
