comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: No,$0.15,False,Medium reporting,Longer than 3 months ,svg-4,Platform: digital,New African,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,profile or interview,1200,2018
,Contract: No,$0.18,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,New African,Submission/spec (piece was written prior and then submitted for publication),Rights: First Serial Rights,"criticism, review, or arts/entertainment coverage",2000,2017
"""Editor was great to work with""",Contract: Yes,$0.19,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,The Week Website,Cold pitch (no pre-existing relationship),Rights: All rights,feature,800,2018
,Contract: No,$0.12,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,The Week Website,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1300,2017
,Contract: Yes,$0.19,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,The Week Website,Cold pitch (no pre-existing relationship),Rights: All rights,news story,800,2016
,"Contract: Verbal or ""handshake"" agreement",$0.20,False,Little to no reporting,Paid in 15 days ,svg-2,Platform: digital,Billboard,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,blog post,1000,2018
,Contract: ,$0.20,False,,Paid in 6 weeks ,svg-2,Platform: digital,Billboard,,Rights: Other / I don't know,,1000-word,2018
,Contract: No,$0.09,False,Medium reporting,Paid in 3 months ,svg-4,Platform: digital,Billboard,Referral (you had a connection who connected you to the editor),Rights: First Serial Rights,"opinion, editorial, column or essay",1600,2018
,Contract: Yes,$0.10,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Billboard,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,"criticism, review, or arts/entertainment coverage",1000,2017
,Contract: Yes,$0.50,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,Billboard,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,news story,500,2017
"""they always pay in 45+ days, even if they say earlier even though they say 45 at most!""",Contract: Yes,$0.29,False,Heavy/Investigative reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,Billboard,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"criticism, review, or arts/entertainment coverage",6000,2016
,Contract: ,$0.15,False,,Paid in 6 weeks ,svg-1,Platform: digital,Billboard,,Rights: Other / I don't know,,1000-word,2016
,Contract: ,$200,True,,,ng-hide,Platform: digital,Newsmotion,,Rights: ,,,2013
,Contract: ,,,,,ng-hide,,Edible D.c.,,Rights: ,,,2013
"""Editor requires sources to review because of level of technical language involved. Extensive editing by the sources, who are all surgeons, so this matched my previous experience with high-level medical professionals. Editor was very supportive.""",Contract: No,$0.17,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Western New York Physician,Assignment (editor came to you),Rights: All rights,feature,2400,2017
"""Worked with the editor on a piece for 5 months before submitting because every couple weeks, she'd change who she wanted interviewed or what the piece was about. Each change came with a lengthy conference call or email conversation. When she finally landed on an angle, she then wanted a final draft in than a week. Got it in before deadline. 2 months go by with no word, despite numerous emails from me to invoice, confirm receipt, etc. Then her revisions killing everything except one paragraph and asking that I change the subject matter completely. Before, the changes were at least tangentially related (from a recap to why the host organized the event, etc). This requested change was from a profile of one man's faith to a science article on animals. At this point, I'd worked on the piece for 7 months for a flat rate of $200. I refused, but offered to continue working on any edits on the existing topic. She then refused to pay me unless I gave her my notes so she could write the article in-house herself. I refused, and asked for the contact info of her EIC. She then lied and gave me the info for a friend on staff. Finally had to threaten to take the magazine to small claims to get my $200. ""Christian"" indeed.""",Contract: No,$0.16,False,Heavy/Investigative reporting,Paid in 3 months ,svg-4,Platform: digital,Christianity Today,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,profile or interview,1234,2017
,Contract: No,$0.02,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Christianity Today,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,"opinion, editorial, column or essay",5000,2016
,Contract: No,$0.17,False,Little to no reporting,,ng-hide,Platform: digital,Christianity Today,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"opinion, editorial, column or essay",~3000,2013
,Contract: Yes,$0.18,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Sonoma Index-tribune,Assignment (editor came to you),Rights: All rights,"criticism, review, or arts/entertainment coverage",700,2017
"""The worst experience I've had with an editor. I pitched an article with a one page query to the editor of Dirt Rag, Eric McKeegan, and he responded that he'd like a 1,500 word piece and gave me a brief phrase to clarify the focus he'd like.

I got him the piece within the requested time frame and didn't hear back for weeks. I followed up and still didn't hear back. More weeks passed and then I contacted the publisher and soon received an email from the editor saying he'd take a look at the piece.

A few days later, he told me he didn't like it but gave no other details. After reminding him that I wrote it specifically based on his one-sentence description, I asked him what was unsatisfactory and what edits he'd like me to make.

He ignored this email and so I followed up weeks later asking if he had seen the email. Weeks later again, I explained that I'd need him to send me edits or pay me a kill fee. He didn't respond.

I've just sent another email to the publisher and if I don't get a response, I will be following up with my attorney.

Freelance journalism cannot thrive with editors like Eric McKeegan. If an editor asks a journalist to tailor-write a piece for him and then he declines, he must pay for the work in some fashion.""",Contract: ,$0.00,False,Heavy/Investigative reporting,,svg-false,Platform: other,Dirt Rag Magazine,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1500,2018
"""Company did not pay for travel expenses; out-of-pocket travel cost me $1,500. Story was long delayed due to turnover at the company. When they finally got to it, however, it was edited well.""",Contract: ,$1.00,False,,Longer than 3 months ,svg-4,Platform: digital,The Atavist,,Rights: All rights,,6500-word,2018
"""The contract says that I can amend my ability to republish the work elsewhere. GlobalPost would have to agree, in writing.""",Contract: Yes,$0.33,False,Medium reporting,,ng-hide,Platform: digital,Global Post,Cold pitch (no pre-existing relationship),Rights: All rights,news story,~750,2014
"""They always pay at the end of each month.""",Contract: Yes,$0.27,False,Medium reporting,,ng-hide,Platform: digital,Global Post,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,news story,~750,2014
,Contract: ,$250.00,False,,,ng-hide,,Global Post,,Rights: ,,~4-word,2013
"""Payment receive within a week, “but my bank information was already in the payment system. Would take longer otherwise.”""",Contract: ,$0.63,False,,,ng-hide,Platform: digital,Global Post,,Rights: ,feature,800,2013
,Contract: Yes,$0.41,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-2,Platform: print,Alaska Airlines Magazine,Assignment (editor came to you),Rights: First Serial Rights,feature,1850,2017
"""Don't pay writers ever because they can get ""thought leaders"" and ""experts"" to submit content for free. This has been the basis of their content strategy from the beginning. All articles are more than 1,000 words with 5 to 10 screen shots each. Editorial guidelines are pages long.""",Contract: No,$0.00,False,Medium reporting,,ng-hide,Platform: digital,Social Media Examiner,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,feature,~1500,2014
,Contract: ,$0.75,False,,Haven't gotten it yet (as of this reporting) ,svg-4,Platform: digital,Cnbc.com,,Rights: Other / I don't know,,1000-word,2016
,Contract: Yes,$0.50,False,Medium reporting,,ng-hide,Platform: digital,Cnbc.com,Ongoing/pre-existing relationship with editor or publication,Rights: ,feature,~1500,2014
,Contract: Yes,$0.03,False,Medium reporting,Paid in 1 month ,svg-2,Platform: print,Shameless Magazine,Cold pitch (no pre-existing relationship),Rights: All rights,feature,2000,2018
,Contract: ,$0.50,False,,Paid in 2 months ,svg-2,Platform: digital,Time.com,,Rights: Other / I don't know,,1200-word,2018
"""I put ""heavy"" under reporting but I'm not sure if that's accurate. I interviewed one source for the article and the article was about him exclusively. ""","Contract: Verbal or ""handshake"" agreement",$0.04,False,Heavy/Investigative reporting,,ng-hide,Platform: digital,Craft Beer Magazine,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,profile or interview,~750,2014
,Contract: No,$1.00,False,Medium reporting,Paid in 3 months ,svg-2,Platform: digital,National Geographic News,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,news story,500,2019
,Contract: ,$1.00,False,,Paid in 6 weeks ,svg-2,Platform: digital,National Geographic News,,Rights: All rights,,2000-word,2018
,Contract: ,$0.75,False,,Paid in 1 month ,svg-2,Platform: digital,National Geographic News,,Rights: All rights,,800-word,2018
,Contract: Yes,$1.00,False,Medium reporting,Longer than 3 months ,svg-4,Platform: digital,National Geographic News,Other,Rights: All rights,news story,500,2018
"""Payment is over 60 days late. Editing experience was positive, but won’t write for them again.""",Contract: Yes,$0.67,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,National Geographic News,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,news story,900,2017
,Contract: Yes,$0.75,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-4,Platform: digital,National Geographic News,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,news story,800,2017
"""I have sent them two invoices and they have never answered or responded to my inquiries.""",Contract: No,$0.03,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Under The Radar,Referral (you had a connection who connected you to the editor),Rights: Other / I don't know,profile or interview,1500,2017
,Contract: ,$0.03,False,,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Under The Radar,,Rights: All rights,,1500-word,2017
"""Editor writes, ""We don't pay,"" so I didn't write. Just putting entry here as a heads up to others that this is a no-pay pub.""",Contract: No,$0.00,False,Little to no reporting,,svg-false,Platform: print,Internet Retailer,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,fob,500,2017
,Contract: No,$0.31,False,Medium reporting,Paid in 3 months ,svg-3,Platform: digital,Women's Enews,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,800,2016
,Contract: Yes,$0.25,False,Medium reporting,Paid in 2 months ,svg-2,Platform: digital,Backpacker Magazine,Referral (you had a connection who connected you to the editor),Rights: Other / I don't know,blog post,500,2018
,Contract: Yes,$0.50,False,Medium reporting,Paid in 1 month ,svg-2,Platform: digital,Backpacker Magazine,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,fob,300,2017
,Contract: Yes,$0.50,False,Little to no reporting,Paid in 1 month ,svg-2,Platform: print,Backpacker Magazine,Referral (you had a connection who connected you to the editor),Rights: First Serial Rights,fob,1200,2017
,Contract: ,$0.13,False,,Paid in 1 month ,svg-1,Platform: digital,Espn Esports,,Rights: Other / I don't know,,800-word,2016
,Contract: ,$0.00,False,,Paid in 6 weeks ,svg-1,Platform: print,Espn Esports,,Rights: First Serial Rights,,300-word,2016
,Contract: No,$0.17,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-4,Platform: digital,Espn Esports,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,feature,600,2016
,Contract: Yes,$0.02,False,Medium reporting,Paid in 6 weeks ,svg-2,Platform: digital,Townsquare Digital,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,blog post,700,2016
